Info,Scientific name,Common name,Alternate name,Family name,Scientific name2,Common name2,Alternate name2,Family name2,View
https://avibase.bsc-eoc.org/compare.jsp?source1=birdlife&version1=BIRDLIFE03&source2=birdlife&version2=BIRDLIFE12&continent=&reg_type=9,Struthio camelus,Ostrich,,Struthionidae,,,,,
"first column with scientific name is with birdlife checklist 3, for eltontraits. The second one is with HBW birdlife 3, which  is what the IUCN uses",,,,,Struthio camelus,Common Ostrich,,Struthionidae,
,,,,,Struthio molybdophanes,Somali Ostrich,,Struthionidae,
,Rhea pennata,Lesser Rhea,,Rheidae,,,,,
,,,,,Rhea pennata,Lesser Rhea,,Rheidae,
,,,,,Rhea tarapacensis,Puna Rhea,,Rheidae,
,Dromaius novaehollandiae,Emu,,Dromaiidae,Dromaius novaehollandiae,Common Emu,,Casuariidae,
,Dromaius ater,King Island Emu,,Dromaiidae,Dromaius minor,King Island Emu,,Casuariidae,
,Dromaius baudinianus,Kangaroo Island Emu,,Dromaiidae,Dromaius baudinianus,Kangaroo Island Emu,,Casuariidae,
,Apteryx australis,Southern Brown Kiwi,,Apterygidae,,,,,
,,,,,Apteryx australis,Southern Brown Kiwi,,Apterygidae,
,,,,,Apteryx rowi,Okarito Kiwi,,Apterygidae,
,Crypturellus cinnamomeus,Thicket Tinamou,,Tinamidae,,,,,
,,,,,Crypturellus cinnamomeus,Eastern Thicket Tinamou,,Tinamidae,
,,,,,Crypturellus occidentalis,Western Thicket Tinamou,,Tinamidae,
,Nothura chacoensis,Chaco Nothura,,Tinamidae,,,,,
,,,,,Nothura maculosa,Spotted Nothura,,Tinamidae,
,Nothura maculosa,Spotted Nothura,,Tinamidae,,,,,
,Eudromia elegans,Elegant Crested-tinamou,,Tinamidae,Eudromia elegans,Elegant Crested Tinamou,,Tinamidae,
,Eudromia formosa,Quebracho Crested-tinamou,,Tinamidae,Eudromia formosa,Quebracho Crested Tinamou,,Tinamidae,
,Podiceps occipitalis,Silvery Grebe,,Podicipedidae,,,,,
,,,,,Podiceps occipitalis,Southern Silvery Grebe,,Podicipedidae,
,,,,,Podiceps juninensis,Northern Silvery Grebe,,Podicipedidae,
,Thalassarche melanophrys,Black-browed Albatross,,Diomedeidae,Thalassarche melanophris,Black-browed Albatross,,Diomedeidae,
,Macronectes giganteus,Southern Giant-petrel,,Procellariidae,Macronectes giganteus,Southern Giant Petrel,,Procellariidae,
,Macronectes halli,Northern Giant-petrel,,Procellariidae,Macronectes halli,Northern Giant Petrel,,Procellariidae,
,Lugensa brevirostris,Kerguelen Petrel,,Procellariidae,Aphrodroma brevirostris,Kerguelen Petrel,,Procellariidae,
,Pterodroma leucoptera,Gould's Petrel,,Procellariidae,Pterodroma leucoptera,White-winged Petrel,,Procellariidae,
,Pterodroma defilippiana,De Filippi's Petrel,,Procellariidae,Pterodroma defilippiana,Masatierra Petrel,,Procellariidae,
,Pterodroma macroptera,Great-winged Petrel,,Procellariidae,,,,,
,,,,,Pterodroma macroptera,Great-winged Petrel,,Procellariidae,
,,,,,Pterodroma gouldi,Grey-faced Petrel,,Procellariidae,
,Pterodroma feae,Fea's Petrel,,Procellariidae,,,,,
,,,,,Pterodroma feae,Cape Verde Petrel,,Procellariidae,
,,,,,Pterodroma deserta,Desertas Petrel,,Procellariidae,
,Pterodroma caribbaea,Jamaica Petrel,,Procellariidae,Pterodroma caribbaea,Jamaican Petrel,,Procellariidae,
,Pachyptila salvini,Medium-billed Prion,,Procellariidae,,,,,
,,,,,Pachyptila salvini,Salvin's Prion,,Procellariidae,
